step 0: train loss 10.9987, val loss 10.9994
iter 1180: loss 6.9688, time 179.21ms, ETA: 1d 10h, progress: 0.2%
iter 1190: loss 7.4375, time 180.13ms, ETA: 1d 10h, progress: 0.2%
[2025-08-27 20:19:47,397] [INFO] [logging.py:107:log_dist] [Rank 0] step=30, skipped=0, lr=[0.0003598200899550225], mom=[[0.9, 0.95]]
[2025-08-27 20:19:47,409] [INFO] [timer.py:264:stop] epoch=0/micro_step=1200/global_step=30, RunningAvgSamplesPerSec=644.3549081249637, CurrSamplesPerSec=637.6831512660149, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 1200: loss 7.0625, time 176.51ms, ETA: 1d 10h, progress: 0.2%
iter 1210: loss 7.2188, time 180.46ms, ETA: 1d 9h, progress: 0.2%
iter 1220: loss 7.1875, time 181.12ms, ETA: 1d 9h, progress: 0.2%
iter 1230: loss 7.1250, time 182.21ms, ETA: 1d 9h, progress: 0.2%
iter 1240: loss 7.1250, time 175.29ms, ETA: 1d 9h, progress: 0.2%
iter 1250: loss 7.2500, time 180.91ms, ETA: 1d 9h, progress: 0.2%
iter 1260: loss 7.2188, time 180.33ms, ETA: 1d 9h, progress: 0.2%
iter 1270: loss 7.0000, time 180.35ms, ETA: 1d 9h, progress: 0.2%
iter 1280: loss 6.9688, time 179.42ms, ETA: 1d 9h, progress: 0.2%
iter 1290: loss 7.0312, time 179.19ms, ETA: 1d 9h, progress: 0.2%
iter 1300: loss 7.0312, time 179.39ms, ETA: 1d 9h, progress: 0.2%
iter 1310: loss 7.5625, time 180.56ms, ETA: 1d 9h, progress: 0.2%
iter 1320: loss 7.1250, time 176.57ms, ETA: 1d 9h, progress: 0.2%
iter 1330: loss 7.4688, time 180.13ms, ETA: 1d 9h, progress: 0.2%
iter 1340: loss 7.4688, time 182.11ms, ETA: 1d 9h, progress: 0.2%
iter 1350: loss 7.1250, time 181.33ms, ETA: 1d 9h, progress: 0.2%
iter 1360: loss 7.0625, time 176.97ms, ETA: 1d 9h, progress: 0.2%
iter 1370: loss 7.0000, time 180.77ms, ETA: 1d 9h, progress: 0.2%
iter 1380: loss 7.1250, time 180.97ms, ETA: 1d 9h, progress: 0.2%
iter 1390: loss 7.1562, time 181.45ms, ETA: 1d 9h, progress: 0.2%
iter 1400: loss 7.0312, time 175.89ms, ETA: 1d 9h, progress: 0.2%
iter 1410: loss 6.9688, time 178.31ms, ETA: 1d 9h, progress: 0.2%
iter 1420: loss 7.2500, time 178.29ms, ETA: 1d 9h, progress: 0.2%
iter 1430: loss 6.9688, time 182.96ms, ETA: 1d 9h, progress: 0.2%
iter 1440: loss 7.0938, time 177.27ms, ETA: 1d 9h, progress: 0.2%
iter 1450: loss 6.8750, time 180.75ms, ETA: 1d 9h, progress: 0.2%
iter 1460: loss 7.0938, time 182.35ms, ETA: 1d 9h, progress: 0.2%
iter 1470: loss 6.9375, time 179.70ms, ETA: 1d 9h, progress: 0.2%
iter 1480: loss 7.0000, time 177.29ms, ETA: 1d 9h, progress: 0.2%
iter 1490: loss 6.9375, time 182.84ms, ETA: 1d 9h, progress: 0.2%
