step 0: train loss 10.9886, val loss 10.9897
iter 1250: loss 4.1827, time 736.55ms, mfu 22.83%, ETA: 5d 6h, progress: 0.2%
iter 1260: loss 4.1238, time 734.17ms, mfu 22.84%, ETA: 5d 6h, progress: 0.2%
iter 1270: loss 4.2223, time 727.40ms, mfu 22.87%, ETA: 5d 6h, progress: 0.2%
iter 1280: loss 4.1362, time 728.10ms, mfu 22.90%, ETA: 5d 6h, progress: 0.2%
iter 1290: loss 3.8331, time 725.38ms, mfu 22.93%, ETA: 5d 6h, progress: 0.2%
iter 1300: loss 4.2294, time 752.33ms, mfu 22.87%, ETA: 5d 6h, progress: 0.2%
iter 1310: loss 4.2597, time 735.07ms, mfu 22.87%, ETA: 5d 6h, progress: 0.2%
iter 1320: loss 3.9954, time 765.50ms, mfu 22.79%, ETA: 5d 6h, progress: 0.2%
iter 1330: loss 4.0020, time 731.69ms, mfu 22.81%, ETA: 5d 6h, progress: 0.2%
iter 1340: loss 4.0290, time 752.46ms, mfu 22.76%, ETA: 5d 6h, progress: 0.2%
iter 1350: loss 4.1513, time 726.77ms, mfu 22.80%, ETA: 5d 6h, progress: 0.2%
iter 1360: loss 3.9400, time 738.63ms, mfu 22.80%, ETA: 5d 6h, progress: 0.2%
iter 1370: loss 4.1077, time 728.26ms, mfu 22.83%, ETA: 5d 6h, progress: 0.2%
iter 1380: loss 4.2768, time 733.15ms, mfu 22.85%, ETA: 5d 6h, progress: 0.2%
iter 1390: loss 4.0993, time 733.12ms, mfu 22.86%, ETA: 5d 6h, progress: 0.2%
iter 1400: loss 3.8348, time 756.70ms, mfu 22.80%, ETA: 5d 6h, progress: 0.2%
iter 1410: loss 4.0769, time 732.01ms, mfu 22.82%, ETA: 5d 6h, progress: 0.2%
iter 1420: loss 4.1375, time 722.78ms, mfu 22.86%, ETA: 5d 6h, progress: 0.2%
iter 1430: loss 4.0068, time 741.01ms, mfu 22.85%, ETA: 5d 6h, progress: 0.2%
iter 1440: loss 4.0955, time 723.10ms, mfu 22.89%, ETA: 5d 6h, progress: 0.2%
iter 1450: loss 3.8593, time 718.96ms, mfu 22.94%, ETA: 5d 5h, progress: 0.2%
iter 1460: loss 4.1965, time 729.80ms, mfu 22.96%, ETA: 5d 5h, progress: 0.2%
iter 1470: loss 3.9220, time 714.88ms, mfu 23.01%, ETA: 5d 5h, progress: 0.2%
iter 1480: loss 4.0309, time 723.52ms, mfu 23.04%, ETA: 5d 5h, progress: 0.2%
iter 1490: loss 4.1111, time 733.79ms, mfu 23.03%, ETA: 5d 5h, progress: 0.2%
iter 1500: loss 3.8833, time 732.64ms, mfu 23.02%, ETA: 5d 5h, progress: 0.2%
iter 1510: loss 4.0729, time 742.41ms, mfu 22.99%, ETA: 5d 5h, progress: 0.3%
iter 1520: loss 3.9315, time 729.91ms, mfu 23.00%, ETA: 5d 5h, progress: 0.3%
iter 1530: loss 3.8696, time 739.43ms, mfu 22.97%, ETA: 5d 5h, progress: 0.3%
iter 1540: loss 3.9162, time 740.55ms, mfu 22.95%, ETA: 5d 5h, progress: 0.3%
iter 1550: loss 3.9288, time 723.96ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1560: loss 4.0454, time 757.44ms, mfu 22.90%, ETA: 5d 5h, progress: 0.3%
iter 1570: loss 3.9600, time 745.59ms, mfu 22.87%, ETA: 5d 5h, progress: 0.3%
iter 1580: loss 4.0041, time 739.60ms, mfu 22.86%, ETA: 5d 5h, progress: 0.3%
iter 1590: loss 4.1107, time 722.81ms, mfu 22.90%, ETA: 5d 5h, progress: 0.3%
iter 1600: loss 4.0253, time 725.31ms, mfu 22.93%, ETA: 5d 5h, progress: 0.3%
iter 1610: loss 4.0673, time 728.72ms, mfu 22.95%, ETA: 5d 5h, progress: 0.3%
iter 1620: loss 3.9555, time 723.07ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1630: loss 4.0527, time 737.89ms, mfu 22.97%, ETA: 5d 5h, progress: 0.3%
iter 1640: loss 4.0203, time 725.47ms, mfu 22.99%, ETA: 5d 5h, progress: 0.3%
iter 1650: loss 3.7864, time 719.89ms, mfu 23.03%, ETA: 5d 5h, progress: 0.3%
iter 1660: loss 3.6840, time 729.13ms, mfu 23.03%, ETA: 5d 5h, progress: 0.3%
iter 1670: loss 3.9288, time 733.97ms, mfu 23.02%, ETA: 5d 5h, progress: 0.3%
iter 1680: loss 3.9427, time 725.70ms, mfu 23.04%, ETA: 5d 5h, progress: 0.3%
iter 1690: loss 3.7153, time 751.40ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1700: loss 3.8781, time 732.89ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1710: loss 3.8802, time 746.68ms, mfu 22.93%, ETA: 5d 5h, progress: 0.3%
iter 1720: loss 3.8485, time 712.09ms, mfu 23.00%, ETA: 5d 5h, progress: 0.3%
iter 1730: loss 3.9376, time 728.50ms, mfu 23.01%, ETA: 5d 5h, progress: 0.3%
iter 1740: loss 3.9645, time 734.85ms, mfu 23.00%, ETA: 5d 5h, progress: 0.3%
iter 1750: loss 4.0250, time 735.99ms, mfu 22.99%, ETA: 5d 5h, progress: 0.3%
iter 1760: loss 3.7674, time 746.34ms, mfu 22.95%, ETA: 5d 5h, progress: 0.3%
iter 1770: loss 4.0056, time 710.02ms, mfu 23.02%, ETA: 5d 5h, progress: 0.3%
iter 1780: loss 3.9464, time 729.19ms, mfu 23.03%, ETA: 5d 5h, progress: 0.3%
iter 1790: loss 3.8705, time 744.98ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1800: loss 3.8741, time 730.65ms, mfu 22.99%, ETA: 5d 5h, progress: 0.3%
iter 1810: loss 3.7794, time 736.46ms, mfu 22.98%, ETA: 5d 5h, progress: 0.3%
iter 1820: loss 4.0238, time 743.98ms, mfu 22.94%, ETA: 5d 5h, progress: 0.3%
iter 1830: loss 3.7919, time 747.97ms, mfu 22.90%, ETA: 5d 5h, progress: 0.3%
iter 1840: loss 3.9683, time 730.87ms, mfu 22.91%, ETA: 5d 5h, progress: 0.3%
iter 1850: loss 3.9392, time 721.53ms, mfu 22.95%, ETA: 5d 5h, progress: 0.3%
iter 1860: loss 3.7086, time 739.54ms, mfu 22.93%, ETA: 5d 5h, progress: 0.3%
iter 1870: loss 3.6833, time 728.95ms, mfu 22.95%, ETA: 5d 5h, progress: 0.3%
iter 1880: loss 3.9330, time 741.69ms, mfu 22.92%, ETA: 5d 5h, progress: 0.3%
iter 1890: loss 4.0607, time 737.91ms, mfu 22.91%, ETA: 5d 5h, progress: 0.3%
iter 1900: loss 3.7821, time 727.26ms, mfu 22.94%, ETA: 5d 5h, progress: 0.3%
iter 1910: loss 3.7292, time 735.90ms, mfu 22.93%, ETA: 5d 5h, progress: 0.3%
iter 1920: loss 3.6921, time 729.61ms, mfu 22.94%, ETA: 5d 4h, progress: 0.3%
iter 1930: loss 3.9071, time 727.51ms, mfu 22.96%, ETA: 5d 4h, progress: 0.3%
iter 1940: loss 3.7663, time 743.27ms, mfu 22.93%, ETA: 5d 4h, progress: 0.3%
iter 1950: loss 3.8838, time 740.20ms, mfu 22.91%, ETA: 5d 4h, progress: 0.3%
iter 1960: loss 3.7293, time 736.40ms, mfu 22.91%, ETA: 5d 4h, progress: 0.3%
iter 1970: loss 3.6219, time 736.95ms, mfu 22.90%, ETA: 5d 4h, progress: 0.3%
iter 1980: loss 3.7099, time 738.88ms, mfu 22.89%, ETA: 5d 4h, progress: 0.3%
iter 1990: loss 3.8330, time 742.35ms, mfu 22.87%, ETA: 5d 4h, progress: 0.3%
step 2000: train loss 3.7776, val loss 3.7989 | ETA: 5d 6h (2025-09-01 18:14:39) | Progress: 0.3%
saving checkpoint to out
iter 2000: loss 3.8459, time 20023.25ms, mfu 20.66%, ETA: 5d 6h, progress: 0.3%
iter 2010: loss 3.7585, time 718.77ms, mfu 20.94%, ETA: 5d 6h, progress: 0.3%
iter 2020: loss 3.9601, time 711.12ms, mfu 21.21%, ETA: 5d 6h, progress: 0.3%
iter 2030: loss 3.8107, time 716.40ms, mfu 21.44%, ETA: 5d 6h, progress: 0.3%
iter 2040: loss 3.8072, time 713.86ms, mfu 21.65%, ETA: 5d 6h, progress: 0.3%
iter 2050: loss 3.7487, time 699.67ms, mfu 21.90%, ETA: 5d 6h, progress: 0.3%
iter 2060: loss 3.7233, time 716.16ms, mfu 22.06%, ETA: 5d 6h, progress: 0.3%
iter 2070: loss 3.8404, time 697.69ms, mfu 22.26%, ETA: 5d 6h, progress: 0.3%
iter 2080: loss 3.8184, time 724.50ms, mfu 22.36%, ETA: 5d 6h, progress: 0.3%
iter 2090: loss 3.8204, time 740.94ms, mfu 22.40%, ETA: 5d 6h, progress: 0.3%
iter 2100: loss 3.6478, time 726.82ms, mfu 22.47%, ETA: 5d 6h, progress: 0.4%
iter 2110: loss 3.6814, time 736.30ms, mfu 22.51%, ETA: 5d 6h, progress: 0.4%
iter 2120: loss 3.6625, time 726.87ms, mfu 22.58%, ETA: 5d 6h, progress: 0.4%
iter 2130: loss 3.7574, time 732.00ms, mfu 22.62%, ETA: 5d 6h, progress: 0.4%
iter 2140: loss 3.9689, time 752.14ms, mfu 22.59%, ETA: 5d 6h, progress: 0.4%
iter 2150: loss 3.4833, time 736.50ms, mfu 22.62%, ETA: 5d 5h, progress: 0.4%
iter 2160: loss 3.8880, time 729.50ms, mfu 22.67%, ETA: 5d 5h, progress: 0.4%
iter 2170: loss 3.6962, time 733.53ms, mfu 22.69%, ETA: 5d 5h, progress: 0.4%
iter 2180: loss 3.7899, time 725.31ms, mfu 22.74%, ETA: 5d 5h, progress: 0.4%
iter 2190: loss 3.8914, time 733.55ms, mfu 22.76%, ETA: 5d 5h, progress: 0.4%
iter 2200: loss 3.6781, time 740.10ms, mfu 22.76%, ETA: 5d 5h, progress: 0.4%
iter 2210: loss 3.7922, time 722.70ms, mfu 22.82%, ETA: 5d 5h, progress: 0.4%
iter 2220: loss 3.8215, time 732.49ms, mfu 22.83%, ETA: 5d 5h, progress: 0.4%
iter 2230: loss 3.7601, time 725.55ms, mfu 22.87%, ETA: 5d 5h, progress: 0.4%
iter 2240: loss 3.8229, time 733.36ms, mfu 22.88%, ETA: 5d 5h, progress: 0.4%
iter 2250: loss 3.5110, time 747.08ms, mfu 22.84%, ETA: 5d 5h, progress: 0.4%
